org,dest,days,departure_date,people_number,housing,cuisine,transportation,budget,query,level,details
,,7.0,2022-03-08,2.0,"['private room', 'children under 10']",,no flight,8100.0,"We are planning a 7-day trip for 2 individuals, departing on March 8th, 2022. Our budget is $8100. We are looking for accommodations with a private room that allows children under 10. Additionally, we prefer not to travel by flight.",hard,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Minneapolis', 'priority': 0, 'question': ""I see all the details for your trip, but I'm missing one crucial piece of information. Could you please let me know the departure city for your upcoming 7-day trip?"", 'answer': ""Absolutely, Minneapolis is where my adventure begins! The vibrant cityscape and friendly locals make it the perfect starting point for my upcoming journey. I can't wait to explore all the hidden gems and immerse myself in the local culture before setting off on my 7-day trip.""}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Belleville on day 1', 'Chicago on day 3', 'Rockford on day 5'], 'priority': 0, 'question': 'Which cities are you considering visiting during your 7-day trip, and could you provide the specific days you plan to arrive in each city?', 'answer': ""Oh, I am beyond excited about my upcoming trip! I have a whole itinerary planned out already. I'll be starting off in Belleville on day 1, then heading to Chicago on day 3, and finally making my way to Rockford on day 5. Each city has something unique to offer, and I can't wait to explore them all!""}]"
Cincinnati,['Philadelphia on day 1'],3.0,2022-03-07,2.0,"['shared room', 'visitors']",,no self-driving,2000.0,"Craft a 3-day travel plan for 2 individuals starting from Cincinnati and heading to Philadelphia on day 1. We plan to depart on March 7th, 2022, with a budget of $2000. Our accommodation preference is a shared room that allows visitors, and we won't be self-driving during our trip.",hard,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['private room', 'children under 10'], 'priority': 0, 'question': ""It seems like the accommodation preference you've specified may not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': ""I'm open to a private room and accommodations that allow children under 10.""}]"
Cleveland,,3.0,2022-03-15,2.0,['private room'],,,,"Craft a 3-day travel plan for 2 individuals starting from Cleveland. The departure date is March 15th, 2022, and we require accommodations with a private room.",medium,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 1700, 'priority': 0, 'question': 'To better tailor the travel plan, could you please share the budget you have in mind for this trip?', 'answer': 'Our budget for the trip is $1700.'}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Baltimore on day 1'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your 3-day trip, and on which days do you plan to arrive in each city?', 'answer': ""Oh, I can't wait to explore Baltimore on day 1! The city has such a rich history and vibrant culture to immerse myself in. I'm already looking forward to all the amazing experiences and delicious food I'll get to enjoy there. It's going to be an unforgettable start to my 3-day trip!""}]"
Bangor,['Washington on day 1'],3.0,2022-03-21,3.0,"['entire room', 'pets']",['Mediterranean'],no self-driving,3100.0,"Could you plan a 3-day trip for 3 individuals starting in Bangor and heading to Washington on day 1? We are departing on March 21st, 2022, with a budget of $3100. Our accommodation preference is an entire room that allows pets. We are interested in Mediterranean cuisine and will not be self-driving during our journey.",hard,"[{'operation': 'REPLACE', 'attribute': 'cuisine', 'value': None, 'priority': 0, 'question': 'It seems that Mediterranean cuisine is not available in the cities you plan to visit. Could you suggest an alternative cuisine preference for your trip?', 'answer': ""Absolutely! I love exploring different cuisines, so I'm open to trying anything new and exciting during my trip. Food is such an important part of experiencing a new culture, so I'm looking forward to tasting a variety of dishes wherever I go.""}]"
New York,,,2022-03-15,4.0,['smoking'],,,,"Can you organize a trip for 4 individuals starting from New York on March 15th, 2022, with smoking-friendly accommodations?",medium,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['New Orleans on day 1', 'Baton Rouge on day 3'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your trip, and could you provide the specific days you plan to arrive in each city?', 'answer': ""I can't wait to explore the vibrant streets of New Orleans on day 1 and soak up the charm of Baton Rouge on day 3. Each city has its own unique atmosphere and I'm excited to experience them both!""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 12300, 'priority': 0, 'question': 'To better tailor the trip to your preferences, could you please share the budget you have in mind for this travel plan?', 'answer': ""Absolutely, I've set aside a budget of $12,300 for this trip. I believe it will allow me to fully enjoy all the experiences and activities I have in mind without any constraints.""}, {'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'To better assist you, could you provide me with the number of days you would like the trip to last?', 'answer': ""Absolutely, I'm thinking of making it a 5-day trip filled with exciting adventures and unforgettable experiences!""}]"
Akron,,3.0,,2.0,,"['Chinese', 'American']",,2500.0,"Would you kindly suggest a 3-day travel plan for 2 individuals starting from Akron? Our budget is $2500, and we are interested in exploring Chinese and American cuisine during our trip.",medium,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Tampa on day 1'], 'priority': 0, 'question': 'When do you plan to arrive at each destination during your 3-day trip, and which cities are you considering visiting?', 'answer': ""I can't wait to explore Tampa on day 1! The vibrant city has so much to offer, from beautiful beaches to cultural attractions. I'm excited to immerse myself in everything it has to offer.""}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-28', 'priority': 0, 'question': 'When are you planning to depart from Akron for this 3-day trip?', 'answer': 'I plan to depart from Akron on March 28, 2022.'}]"
New Orleans,,5.0,2022-03-12,3.0,['entire room'],,,,"We are planning a 5-day trip for 3 individuals starting from New Orleans on March 12th, 2022. We are looking for accommodations that provide an entire room.",medium,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Miami on day 1', 'Tampa on day 3'], 'priority': 0, 'question': 'When do you plan to arrive at each destination during your 5-day trip starting from New Orleans on March 12th, 2022?', 'answer': ""Absolutely! I'm really looking forward to exploring Miami on day 1 and then heading to Tampa on day 3. It's going to be such an exciting journey full of new experiences and adventures!""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 4200, 'priority': 0, 'question': 'Do you have a specific budget in mind for this 5-day trip for 3 individuals starting from New Orleans on March 12th, 2022?', 'answer': 'Our budget for the trip is $4200 for 3 individuals.'}]"
,['Savannah on day 1'],3.0,2022-03-03,2.0,['children under 10'],"['Mediterranean', 'Mexican', 'French', 'Indian']",no self-driving,1400.0,"Can you suggest a 3-day travel plan for 2 individuals starting on March 3rd, 2022, with Savannah as the destination on day 1? Our budget is $1400, and we prefer accommodations that allow children under 10. We are interested in Mediterranean, Mexican, French, and Indian cuisines. Additionally, we would like to avoid self-driving during our trip.",hard,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Newark', 'priority': 0, 'question': 'Where will you be departing from for this trip?', 'answer': ""Yes, I'll be starting my journey from Newark, a vibrant city with so much to offer before I embark on my travel adventure.""}]"
Eau Claire,,,2022-03-20,,['visitors'],"['American', 'Chinese', 'French', 'Italian']",no flight,10600.0,"Would you kindly organize a trip starting from Eau Claire on March 20th, 2022, with a budget of $10,600? We are interested in accommodations that allow visitors and do not involve flights for transportation. Our culinary preferences include American, Chinese, French, and Italian cuisines.",hard,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Rockford on day 1', 'Peoria on day 3', 'Chicago on day 5'], 'priority': 0, 'question': 'When do you plan to arrive in each destination during your trip starting from Eau Claire on March 20th, 2022, with a budget of $10,600?', 'answer': 'I plan to arrive in Rockford on day 1, Peoria on day 3, and Chicago on day 5.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 3, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': ""We're a small group of three, including myself, ready to embark on this exciting journey together!""}, {'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'To better assist you, could you provide me with the number of days you intend to spend on this trip starting from Eau Claire on March 20th, 2022, with a budget of $10,600, focusing on accommodations that allow visitors and not involving flights for transportation, and with culinary preferences for American, Chinese, French, and Italian cuisines?', 'answer': 'The trip is planned for 7 days.'}]"
Memphis,,,2022-03-22,1.0,,,,1400.0,"Create a travel plan for a solo traveler departing from Memphis on March 22nd, 2022, with a budget of $1400.",easy,"[{'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'To better assist you, could you provide me with the number of days you intend to spend on this trip starting from March 22nd, 2022?', 'answer': 'I plan to spend 5 days on this trip starting from March 22nd, 2022.'}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Bristol on day 1', 'Johnstown on day 3'], 'priority': 0, 'question': 'Which cities do you have in mind for your trip, and on which days do you plan to arrive in each city?', 'answer': 'I plan to visit Bristol on day 1 and Johnstown on day 3.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['State College on day 1', 'Johnstown on day 3'], 'priority': 2, 'question': 'It seems that Johnstown is not accessible by any transportation methods. Is there another destination you have in mind for your trip?', 'answer': ""State College is a vibrant town nestled in the heart of Pennsylvania, known for its lively atmosphere and beautiful landscapes. I can't wait to explore the charming streets, visit local cafes, and immerse myself in the cultural scene there. It's going to be an unforgettable trip!""}]"
Knoxville,"['Orlando on day 1', 'Miami on day 3']",5.0,2022-03-20,2.0,"['shared room', 'children under 10']","['Chinese', 'Mediterranean']",,3900.0,"I am planning a 5-day trip for 2 individuals starting from Knoxville. We will be visiting Orlando on the 1st day and Miami on the 3rd day. Our departure date is March 20th, 2022, and our budget is $3900. We are looking for shared room accommodations that allow children under 10. Additionally, we enjoy Chinese and Mediterranean cuisine.",medium,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 0, 'question': ""It seems like the accommodation preferences you've mentioned might not be feasible for this trip. Is there a different type of accommodation you would consider, or perhaps another aspect of the trip you'd like to adjust?"", 'answer': 'Any accommodation preference is acceptable.'}]"
,,,2022-03-07,2.0,"['entire room', 'visitors']","['Chinese', 'French', 'American', 'Mediterranean']",,4300.0,"Would you be able to arrange a trip for 2 individuals departing on March 7th, 2022? We are looking for accommodations that offer an entire room and allow visitors. Our culinary preferences include Chinese, French, American, and Mediterranean cuisines. Our budget for this trip is $4300.",hard,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Abilene on day 1', 'Amarillo on day 3', 'Lubbock on day 5'], 'priority': 0, 'question': 'When and where do you plan to arrive at each destination during your trip for two on March 7th, 2022?', 'answer': ""Oh, I can't wait to arrive at each destination during our trip! We'll be heading to Abilene on day 1, then off to Amarillo on day 3, and finally reaching Lubbock on day 5. It's going to be such an exciting journey!""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Reno', 'priority': 0, 'question': 'I can help with arranging your trip, but I need to know the departure city. Where will you be departing from?', 'answer': ""Absolutely, Reno is where my journey will begin! It's a vibrant city with so much to offer, and I can't wait to start my adventure from there.""}, {'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Just to confirm, could you let me know the number of days you are planning to spend on this trip?', 'answer': ""Absolutely, I'm planning to spend a whole week on this trip, soaking in all the experiences and making the most of every moment. Seven days of adventure and exploration await!""}]"
Washington,"['Evansville on day 1', 'South Bend on day 3', 'Fort Wayne on day 5']",7.0,,5.0,['children under 10'],,,,"Please organize a 7-day trip for 5 individuals starting from Washington. The itinerary should include visits to Evansville on day 1, South Bend on day 3, and Fort Wayne on day 5. Additionally, we require accommodations that cater to children under 10.",medium,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-23', 'priority': 0, 'question': 'When are you planning to depart from Washington for this trip?', 'answer': ""I can't wait for my departure date on March 23, 2022! It's going to be such an exciting journey from Washington.""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 23800, 'priority': 0, 'question': 'To better tailor the trip to your preferences, could you please share the budget you have in mind for this 7-day journey for 5 individuals starting from Washington?', 'answer': 'Our budget for the 7-day journey for 5 individuals starting from Washington is $23,800.'}]"
,"['Buffalo on day 1', 'New York on day 3']",5.0,2022-03-18,2.0,,"['Mexican', 'Indian']",,6300.0,"Can you suggest a 5-day travel plan for two individuals starting on March 18th, 2022, with visits to Buffalo on day 1 and New York on day 3? Our budget is set at $6300, and we are interested in exploring Mexican and Indian cuisines during our trip.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Denver', 'priority': 0, 'question': ""I see you have a detailed travel plan, but I'm missing one key detail. Where will you be departing from for this trip?"", 'answer': ""Denver is such a vibrant city with a mix of outdoor adventures and urban charm. I can't wait to explore all the hidden gems it has to offer before embarking on my journey.""}]"
Oakland,"['Portland on day 1', 'Columbus on day 3', 'Eugene on day 5']",7.0,2022-03-12,2.0,"['shared room', 'pets']","['Italian', 'Mediterranean']",,4500.0,"Could you create a 7-day travel plan for 2 people starting in Oakland? We plan to visit Portland on day 1, Columbus on day 3, and Eugene on day 5. Our departure date is March 12th, 2022, and our budget is $4500. We require shared room accommodations that allow pets. Additionally, we enjoy Italian and Mediterranean cuisine.",medium,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Portland on day 1', 'Medford on day 3', 'Eugene on day 5'], 'priority': 0, 'question': 'It seems that Columbus is not accessible for your travel plan. Is there another city you would like to visit instead of Columbus?', 'answer': ""Medford has been on my travel bucket list for a while now, so I'm really excited about the possibility of exploring all that the city has to offer. The thought of immersing myself in Medford's culture, trying out local cuisine, and discovering hidden gems off the beaten path is truly thrilling. I can already picture myself strolling through charming streets, soaking in the atmosphere, and creating unforgettable memories in this vibrant city.""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It seems like the accommodation preference you've specified might not be feasible for this trip. Is there another type of accommodation you would consider, or perhaps a different aspect of the trip you'd like to focus on?"", 'answer': 'Any accommodation preference is acceptable.'}]"
Colorado Springs,"['Moline on day 1', 'Rockford on day 3']",,,1.0,,,,1900.0,"Please organize a solo trip starting from Colorado Springs. The itinerary should include visits to Moline on day 1 and Rockford on day 3, with a budget of $1900.",easy,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-05', 'priority': 0, 'question': 'When are you planning to depart from Colorado Springs for this solo trip?', 'answer': ""I can't wait for March 5, 2022 to arrive! It's going to be the start of an amazing solo adventure from Colorado Springs.""}, {'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'To better assist you, could you please let me know the total number of days you would like this trip to last?', 'answer': ""Absolutely, I'm thinking of making it a 5-day trip filled with exciting adventures and unforgettable experiences!""}]"
,"['San Antonio on day 1', 'Houston on day 3']",,2022-03-10,1.0,,,,,"Craft a travel plan for a solo trip departing on March 10th, 2022. The itinerary includes visiting San Antonio on day 1 and Houston on day 3.",easy,"[{'operation': 'ADD', 'attribute': 'days', 'value': 5, 'priority': 0, 'question': 'To better assist you, could you provide the total number of days you intend to spend on this solo trip starting on March 10th, 2022?', 'answer': 'I plan to spend 5 days on this solo trip starting on March 10th, 2022.'}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Orlando', 'priority': 0, 'question': 'Where will you be departing from for your solo trip on March 10th, 2022?', 'answer': ""I'm so excited to be starting my solo adventure from Orlando! It's such a vibrant city with so much to offer, and I can't wait to explore new horizons from there.""}, {'operation': 'ADD', 'attribute': 'budget', 'value': 3100, 'priority': 0, 'question': 'Do you have a specific budget in mind for this solo trip departing on March 10th, 2022, with visits to San Antonio on day 1 and Houston on day 3?', 'answer': ""Absolutely, I've been saving up for this trip for a while now, and I've set aside around $3100 for all the adventures I'm planning to have. I believe it's going to be worth every penny to explore San Antonio and Houston on my solo journey starting on March 10th, 2022.""}]"
Cedar Rapids,,5.0,2022-03-23,,"['shared room', 'smoking']",,,4300.0,"Please organize a 5-day trip starting from Cedar Rapids, departing on March 23rd, 2022. Our accommodation preference is a shared room that allows smoking, and our budget is $4300.",easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Denver on day 1', 'Alamosa on day 3'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your 5-day trip, and on which specific days do you plan to arrive in each city?', 'answer': 'I plan to visit Denver on day 1 and Alamosa on day 3.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'Could you let me know how many people will be joining you on this trip from Cedar Rapids?', 'answer': ""Oh, it's just me on this adventure, exploring the world solo!""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It seems that the accommodation preference you've specified is not feasible for this trip. Could you suggest an alternative accommodation preference or any other requirements you have in mind?"", 'answer': 'Any accommodation preference is acceptable.'}]"
Kona,"['Oakland on day 1', 'Norfolk on day 3', 'Los Angeles on day 5']",7.0,2022-03-10,1.0,,,,2500.0,"Would you kindly create a 7-day travel plan for a solo traveler starting from Kona? The itinerary includes stops at Oakland on day 1, Norfolk on day 3, and Los Angeles on day 5. The departure date is set for March 10th, 2022, and the budget is limited to $2500.",easy,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Oakland on day 1', 'Bakersfield on day 3', 'Los Angeles on day 5'], 'priority': 0, 'question': ""It seems there's no way to reach Los Angeles. Is there another city you'd like to include in your travel plan instead?"", 'answer': 'Bakersfield.'}]"
Nashville,['Detroit on day 1'],3.0,2022-03-15,2.0,"['not shared room', 'smoking']",,no self-driving,,"I am planning a 3-day trip for 2 individuals starting from Nashville and heading to Detroit on the 1st day. We are set to depart on March 15th, 2022, and prefer accommodations with non-shared rooms that allow smoking. Additionally, we will not be self-driving during this trip.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 2200, 'priority': 0, 'question': 'Do you have a specific budget in mind for this 3-day trip for 2 individuals from Nashville to Detroit on March 15th, 2022, with non-shared smoking rooms and no self-driving involved?', 'answer': 'Our budget for the trip is $2200.'}]"
Minneapolis,"['Belleville on day 1', 'Chicago on day 3', 'Rockford on day 5']",7.0,2022-03-08,,"['shared room', 'smoking']",,no flight,2153.0,"Create a 7-day travel plan starting from Minneapolis. The itinerary includes visiting Belleville on day 1, Chicago on day 3, and Rockford on day 5. We plan to depart on March 8th, 2022, with a budget of $2153. Our accommodation preference is a shared room that allows smoking, and we prefer not to use flights for transportation.",hard,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Just to clarify, how many people will be joining you on this trip?', 'answer': 'Yes, it will be a fantastic trip with just the two of us exploring and creating unforgettable memories together.'}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['private room', 'children under 10'], 'priority': 0, 'question': ""It seems like the accommodation preference you've mentioned might not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': ""Absolutely, I'm open to exploring different types of accommodations for this trip. I'm thinking maybe a cozy private room would be a great alternative, especially if they allow children under 10. It could add a nice touch to our travel experience!""}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 8100, 'priority': 2, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to adjust the budget to meet the minimum required amount for the itinerary?"", 'answer': 'I can adjust the budget to $8,100.'}]"
,"['Traverse City on day 1', 'Alpena on day 3']",5.0,2022-03-19,3.0,"['shared room', 'children under 10']",,,7500.0,"Create a 5-day travel plan for 3 individuals starting on March 19th, 2022. We plan to visit Traverse City on the 1st day and Alpena on the 3rd day. Our budget for this trip is $7500, and we require shared room accommodations suitable for children under 10.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Omaha', 'priority': 0, 'question': 'I can help with that! Just need to know the departure city for your trip. Where will you be starting your journey from?', 'answer': ""I'll be departing from Omaha.""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['private room'], 'priority': 1, 'question': ""It seems like the accommodation preference you've specified might not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': 'I can consider a private room for accommodation.'}]"
,['Appleton on day 1'],3.0,2022-03-04,1.0,"['shared room', 'visitors']",,,1800.0,"Could you suggest a 3-day travel plan for one person, starting on March 4th, 2022, with the first-day stop in Appleton? My budget for this trip is $1800, and I'm open to staying in a shared room that allows visitors.",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Denver', 'priority': 0, 'question': ""I'd be happy to help plan your trip! Before we proceed, could you please let me know the departure city for your upcoming travel adventure?"", 'answer': 'My departure city is Denver.'}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 1, 'question': ""It looks like the accommodation preference you've specified might not be feasible for this trip. Are you willing to explore alternative lodging options to make the travel plan work within your budget and preferences?"", 'answer': 'Absolutely, any accommodation preference is acceptable.'}]"
,"['Marquette on day 1', 'Madison on day 3', 'Devils Lake on day 5']",7.0,2022-03-16,1.0,,,,5700.0,"Could you suggest a 7-day travel itinerary for a solo traveler starting on March 16th, 2022? The journey should include visits to Marquette on day 1, Madison on day 3, and Devils Lake on day 5, with a budget of $5700.",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Punta Gorda', 'priority': 0, 'question': ""I see you have a detailed itinerary planned out, but I'm missing one crucial detail. Where will you be departing from for this trip?"", 'answer': 'Yes, Punta Gorda is where my journey will begin, surrounded by the vibrant energy of the city as I embark on this exciting adventure.'}]"
,"['Pellston on day 1', 'Kalamazoo on day 3', 'Detroit on day 5']",7.0,2022-03-08,4.0,['private room'],,,19400.0,"Craft a 7-day travel plan for 4 individuals starting on March 8th, 2022. Our itinerary includes stops at Pellston on day 1, Kalamazoo on day 3, and Detroit on day 5. We are seeking accommodations with private rooms within a budget of $19,400.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Louisville', 'priority': 0, 'question': 'Where will you be departing from for this 7-day trip starting on March 8th, 2022?', 'answer': 'I will be departing from Louisville.'}]"
Chattanooga,"['Atlanta on day 1', 'Decatur on day 3', 'Augusta on day 5']",7.0,2022-03-24,2.0,"['shared room', 'smoking']",,no flight,6800.0,"Can you organize a 7-day trip for 2 individuals starting from Chattanooga? We plan to visit Atlanta on day 1, Decatur on day 3, and Augusta on day 5. Our departure date is March 24th, 2022, and we prefer shared room accommodations that allow smoking. We won't be using flights for transportation, and our budget is set at $6800.",hard,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['entire room', 'children under 10'], 'priority': 0, 'question': ""It seems like the accommodation preference you've mentioned might not be feasible for this trip. Is there another type of accommodation you would consider?"", 'answer': 'I would consider an entire room and accommodations that allow children under 10.'}]"
Salt Lake City,"['Billings on day 1', 'Great Falls on day 3', 'Bozeman on day 5']",7.0,2022-03-16,2.0,['parties'],"['American', 'Mediterranean', 'Indian', 'Chinese']",no self-driving,2950.0,"Would you kindly organize a 7-day trip for 2 individuals starting from Salt Lake City? We plan to visit Billings on day 1, Great Falls on day 3, and Bozeman on day 5. Our departure date is March 16th, 2022, and we prefer accommodations that allow parties. We are open to a variety of cuisines, including American, Mediterranean, Indian, and Chinese. Additionally, we will not be self-driving during our journey, and our budget is set at $2950.",hard,"[{'operation': 'REPLACE', 'attribute': 'budget', 'value': 7200, 'priority': 0, 'question': ""It looks like the budget you've specified might be a bit lower than what's needed for the trip. Would you be willing to adjust the budget slightly to meet the minimum requirements for the itinerary?"", 'answer': ""Absolutely, I'm more than willing to adjust the budget to $7,200. I believe it will allow for a more fulfilling and enjoyable trip without compromising on the overall experience. Let's make sure we have everything we need to make this journey truly unforgettable!""}]"
Milwaukee,"['Laredo on day 1', 'Kalamazoo on day 3']",5.0,2022-03-21,,"['private room', 'parties']",,no flight,,"Create a 5-day travel plan starting from Milwaukee. The itinerary includes visiting Laredo on day 1 and Kalamazoo on day 3. We plan to depart on March 21, 2022, and prefer accommodations with a private room that allows parties. Additionally, we will not be using flights for transportation.",hard,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Alpena on day 1', 'Kalamazoo on day 3'], 'priority': 0, 'question': 'It seems that Kalamazoo is not accessible by any transportation methods. Is there another destination you would like to consider for day 3 of your trip from Milwaukee?', 'answer': 'Alpena.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please clarify how many people will be joining you on this trip?', 'answer': 'Two people will be joining me on this trip.'}, {'operation': 'ADD', 'attribute': 'budget', 'value': 1700, 'priority': 0, 'question': 'Do you have a specific budget in mind for this 5-day travel plan starting from Milwaukee?', 'answer': 'My budget for the trip is $1700.'}]"
,['Detroit on day 1'],3.0,,,"['entire room', 'pets']","['French', 'Mexican', 'American', 'Mediterranean']",,2200.0,"Craft a 3-day travel plan for us, arriving in Detroit on day 1. We have a budget of $2200 and are seeking accommodations that offer an entire room and are pet-friendly. Our culinary preferences include French, Mexican, American, and Mediterranean cuisines.",hard,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip to Detroit?', 'answer': 'There will be a total of 2 people, including me.'}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Elmira', 'priority': 0, 'question': 'Where will you be departing from for this trip to Detroit?', 'answer': ""Elmira is a charming city nestled in upstate New York, known for its picturesque landscapes and friendly community. I'm excited to start my journey from there to explore the vibrant city of Detroit!""}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-25', 'priority': 0, 'question': 'When are you planning to depart for your trip to Detroit?', 'answer': 'I plan to depart on March 25, 2022.'}]"
Charlotte,['Hilton Head on day 1'],,2022-03-26,5.0,,"['Italian', 'French']",,1481.0,"Please organize a trip for 5 individuals starting from Charlotte and heading to Hilton Head on day 1. We plan to depart on March 26th, 2022, with a budget of $1481. Our group enjoys both Italian and French cuisine.",medium,"[{'operation': 'ADD', 'attribute': 'days', 'value': 3, 'priority': 0, 'question': 'Just to confirm, could you let me know the number of days you are planning for this trip?', 'answer': 'Yes, I am planning for a 3-day trip.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 7000, 'priority': 1, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to adjust the budget slightly to meet the minimum requirements for the itinerary?"", 'answer': ""Absolutely, I'm more than willing to adjust the budget to ensure we can make the most out of this trip. Let's set it at $7,000 to cover all the essentials and maybe even squeeze in a few extra experiences along the way!""}]"
Chattanooga,"['Augusta on day 1', 'Decatur on day 3', 'Atlanta on day 5']",7.0,,2.0,"['not shared room', 'visitors']",,no flight,6900.0,"Craft a 7-day travel plan for 2 individuals starting from Chattanooga. We plan to visit Augusta on the 1st day, Decatur on the 3rd day, and Atlanta on the 5th day. Our accommodation preference is a non-shared room that allows visitors. We will not be taking any flights during our journey. Our budget for this trip is $6900.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-09', 'priority': 0, 'question': 'When are you planning to depart from Chattanooga for this 7-day trip?', 'answer': 'I plan to depart from Chattanooga on March 9, 2022.'}]"
Houston,,7.0,2022-03-23,1.0,,,,,"Can you suggest a 7-day travel itinerary for a solo traveler starting from Houston and departing on March 23rd, 2022?",easy,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 7700, 'priority': 0, 'question': 'To better tailor the travel itinerary, could you please share the budget you have in mind for this trip?', 'answer': 'My budget for the trip is $7700.'}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Salt Lake City on day 1', 'Moab on day 3', 'Vernal on day 5'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your 7-day trip, and on which specific days do you plan to arrive in each city?', 'answer': ""Oh, I am beyond excited about the cities I've chosen for my 7-day trip! Salt Lake City will be my first stop on day 1, followed by Moab on day 3, and then Vernal on day 5. Each city has its own unique charm and I can't wait to explore them all!""}]"
Sun Valley,,5.0,2022-03-22,,,,,2600.0,"Please organize a 5-day travel plan starting from Sun Valley, departing on March 22nd, 2022, with a budget of $2600.",easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['San Diego on day 1', 'Redding on day 3'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your 5-day trip, and on which days do you plan to arrive in each city?', 'answer': 'I plan to visit San Diego on day 1 and Redding on day 3.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'Could you let me know how many people will be joining you on this trip?', 'answer': 'There will be one person, including myself, on this trip.'}]"
